pos,jogador,selecao,gols,assistencias,partidas,minutos,notas,gols_por_jogo,minutos_por_gol,participacoes_gol
1,Kylian Mbappé,França,10,4.0,8,716,Chuteira de Ouro; 2º Boot consecutivo (2022 e 2026); chegou a 22 gols em Copas (recorde absoluto),1.25,71.6,14.0
2,Lionel Messi,Argentina,8,4.0,8,762,Chuteira de Prata; Bola de Prata,1.0,95.2,12.0
3,Jude Bellingham,Inglaterra,7,1.0,8,628,Chuteira de Bronze,0.875,89.7,8.0
3,Erling Haaland,Noruega,7,0.0,6,490,,1.1666666666666667,70.0,7.0
5,Harry Kane,Inglaterra,6,,8,660,Olympics.com indica 1 assistência; Al Jazeera indica 2,0.75,110.0,6.0
5,Ousmane Dembélé,França,6,2.0,8,596,,0.75,99.3,8.0
7,Mikel Oyarzabal,Espanha,5,1.0,8,617,,0.625,123.4,6.0
8,Vinícius Júnior,Brasil,4,,5,449,Tinha 1 assistência ao fim da fase de grupos (Yahoo),0.8,112.2,4.0
8,Julián Quiñones,México,4,,5,414,,0.8,103.5,4.0
8,Ismaïla Sarr,Senegal,4,,4,386,,1.0,96.5,4.0
11,Cristiano Ronaldo,Portugal,3,,5,454,,0.6,151.3,3.0
11,Jonathan David,Canadá,3,,5,421,,0.6,140.3,3.0
11,Bradley Barcola,França,3,,8,400,,0.375,133.3,3.0
11,Ismael Saibari,Marrocos,3,,6,385,,0.5,128.3,3.0
11,Cody Gakpo,Países Baixos,3,,4,372,,0.75,124.0,3.0
11,Yoane Wissa,Congo (RDC),3,,4,367,,0.75,122.3,3.0
11,Bukayo Saka,Inglaterra,3,,8,364,,0.375,121.3,3.0
11,Kai Havertz,Alemanha,3,,4,355,,0.75,118.3,3.0
11,Charles De Ketelaere,Bélgica,3,,6,353,,0.5,117.7,3.0
11,Raúl Jiménez,México,3,,5,332,,0.6,110.7,3.0
11,Lautaro Martínez,Argentina,3,,8,322,,0.375,107.3,3.0
11,Folarin Balogun,Estados Unidos,3,,5,318,,0.6,106.0,3.0
11,Matheus Cunha,Brasil,3,,5,293,,0.6,97.7,3.0
11,Eli Just,Nova Zelândia,3,,3,265,,1.0,88.3,3.0
11,Romelu Lukaku,Bélgica,3,,6,245,,0.5,81.7,3.0
11,Brian Brobbey,Países Baixos,3,,4,225,,0.75,75.0,3.0
11,Johan Manzambi,Suíça,3,,4,205,,0.75,68.3,3.0
11,Deniz Undav,Alemanha,3,,4,149,Tinha 2 assistências ao fim da fase de grupos (Yahoo),0.75,49.7,3.0
