id_partida,fase,grupo,rodada,data,estadio,selecao_casa,selecao_fora,gols_casa,gols_fora,prorrogacao,penaltis,fase_ordem,etapa,total_gols,saldo_partida,empate_tempo_normal,ambas_marcaram,over_2_5,clean_sheet_casa,clean_sheet_fora,vencedor,decidida_por
1,Fase de grupos,A,1.0,,,México,África do Sul,2,0,False,,1,Grupos,2,2,False,False,False,True,False,México,Tempo normal
2,Fase de grupos,A,1.0,,,Coreia do Sul,Chéquia,2,1,False,,1,Grupos,3,1,False,True,True,False,False,Coreia do Sul,Tempo normal
3,Fase de grupos,A,2.0,,,Chéquia,África do Sul,1,1,False,,1,Grupos,2,0,True,True,False,False,False,,Tempo normal
4,Fase de grupos,A,2.0,,,México,Coreia do Sul,1,0,False,,1,Grupos,1,1,False,False,False,True,False,México,Tempo normal
5,Fase de grupos,A,3.0,,,África do Sul,Coreia do Sul,1,0,False,,1,Grupos,1,1,False,False,False,True,False,África do Sul,Tempo normal
6,Fase de grupos,A,3.0,,,Chéquia,México,0,3,False,,1,Grupos,3,3,False,False,True,False,True,México,Tempo normal
7,Fase de grupos,B,1.0,,,Canadá,Bósnia e Herzegovina,1,1,False,,1,Grupos,2,0,True,True,False,False,False,,Tempo normal
8,Fase de grupos,B,1.0,,,Catar,Suíça,1,1,False,,1,Grupos,2,0,True,True,False,False,False,,Tempo normal
9,Fase de grupos,B,2.0,,,Suíça,Bósnia e Herzegovina,4,1,False,,1,Grupos,5,3,False,True,True,False,False,Suíça,Tempo normal
10,Fase de grupos,B,2.0,,,Canadá,Catar,6,0,False,,1,Grupos,6,6,False,False,True,True,False,Canadá,Tempo normal
11,Fase de grupos,B,3.0,,,Bósnia e Herzegovina,Catar,3,1,False,,1,Grupos,4,2,False,True,True,False,False,Bósnia e Herzegovina,Tempo normal
12,Fase de grupos,B,3.0,,,Suíça,Canadá,2,1,False,,1,Grupos,3,1,False,True,True,False,False,Suíça,Tempo normal
13,Fase de grupos,C,1.0,,,Brasil,Marrocos,1,1,False,,1,Grupos,2,0,True,True,False,False,False,,Tempo normal
14,Fase de grupos,C,1.0,,,Haiti,Escócia,0,1,False,,1,Grupos,1,1,False,False,False,False,True,Escócia,Tempo normal
15,Fase de grupos,C,2.0,,,Escócia,Marrocos,0,1,False,,1,Grupos,1,1,False,False,False,False,True,Marrocos,Tempo normal
16,Fase de grupos,C,2.0,,,Brasil,Haiti,3,0,False,,1,Grupos,3,3,False,False,True,True,False,Brasil,Tempo normal
17,Fase de grupos,C,3.0,,,Marrocos,Haiti,4,2,False,,1,Grupos,6,2,False,True,True,False,False,Marrocos,Tempo normal
18,Fase de grupos,C,3.0,,,Escócia,Brasil,0,3,False,,1,Grupos,3,3,False,False,True,False,True,Brasil,Tempo normal
19,Fase de grupos,D,1.0,,,Estados Unidos,Paraguai,4,1,False,,1,Grupos,5,3,False,True,True,False,False,Estados Unidos,Tempo normal
20,Fase de grupos,D,1.0,,,Austrália,Turquia,2,0,False,,1,Grupos,2,2,False,False,False,True,False,Austrália,Tempo normal
21,Fase de grupos,D,2.0,,,Estados Unidos,Austrália,2,0,False,,1,Grupos,2,2,False,False,False,True,False,Estados Unidos,Tempo normal
22,Fase de grupos,D,2.0,,,Turquia,Paraguai,0,1,False,,1,Grupos,1,1,False,False,False,False,True,Paraguai,Tempo normal
23,Fase de grupos,D,3.0,,,Turquia,Estados Unidos,3,2,False,,1,Grupos,5,1,False,True,True,False,False,Turquia,Tempo normal
24,Fase de grupos,D,3.0,,,Paraguai,Austrália,0,0,False,,1,Grupos,0,0,True,False,False,True,True,,Tempo normal
25,Fase de grupos,E,1.0,,,Alemanha,Curaçao,7,1,False,,1,Grupos,8,6,False,True,True,False,False,Alemanha,Tempo normal
26,Fase de grupos,E,1.0,,,Costa do Marfim,Equador,1,0,False,,1,Grupos,1,1,False,False,False,True,False,Costa do Marfim,Tempo normal
27,Fase de grupos,E,2.0,,,Alemanha,Costa do Marfim,2,1,False,,1,Grupos,3,1,False,True,True,False,False,Alemanha,Tempo normal
28,Fase de grupos,E,2.0,,,Equador,Curaçao,0,0,False,,1,Grupos,0,0,True,False,False,True,True,,Tempo normal
29,Fase de grupos,E,3.0,,,Curaçao,Costa do Marfim,0,2,False,,1,Grupos,2,2,False,False,False,False,True,Costa do Marfim,Tempo normal
30,Fase de grupos,E,3.0,,,Equador,Alemanha,2,1,False,,1,Grupos,3,1,False,True,True,False,False,Equador,Tempo normal
31,Fase de grupos,F,1.0,,,Países Baixos,Japão,2,2,False,,1,Grupos,4,0,True,True,True,False,False,,Tempo normal
32,Fase de grupos,F,1.0,,,Suécia,Tunísia,5,1,False,,1,Grupos,6,4,False,True,True,False,False,Suécia,Tempo normal
33,Fase de grupos,F,2.0,,,Países Baixos,Suécia,5,1,False,,1,Grupos,6,4,False,True,True,False,False,Países Baixos,Tempo normal
34,Fase de grupos,F,2.0,,,Tunísia,Japão,0,4,False,,1,Grupos,4,4,False,False,True,False,True,Japão,Tempo normal
35,Fase de grupos,F,3.0,,,Japão,Suécia,1,1,False,,1,Grupos,2,0,True,True,False,False,False,,Tempo normal
36,Fase de grupos,F,3.0,,,Tunísia,Países Baixos,1,3,False,,1,Grupos,4,2,False,True,True,False,False,Países Baixos,Tempo normal
37,Fase de grupos,G,1.0,,,Egito,Bélgica,1,1,False,,1,Grupos,2,0,True,True,False,False,False,,Tempo normal
38,Fase de grupos,G,1.0,,,Irã,Nova Zelândia,2,2,False,,1,Grupos,4,0,True,True,True,False,False,,Tempo normal
39,Fase de grupos,G,2.0,,,Bélgica,Irã,0,0,False,,1,Grupos,0,0,True,False,False,True,True,,Tempo normal
40,Fase de grupos,G,2.0,,,Nova Zelândia,Egito,1,3,False,,1,Grupos,4,2,False,True,True,False,False,Egito,Tempo normal
41,Fase de grupos,G,3.0,,,Egito,Irã,1,1,False,,1,Grupos,2,0,True,True,False,False,False,,Tempo normal
42,Fase de grupos,G,3.0,,,Nova Zelândia,Bélgica,1,5,False,,1,Grupos,6,4,False,True,True,False,False,Bélgica,Tempo normal
43,Fase de grupos,H,1.0,,,Espanha,Cabo Verde,0,0,False,,1,Grupos,0,0,True,False,False,True,True,,Tempo normal
44,Fase de grupos,H,1.0,,,Arábia Saudita,Uruguai,1,1,False,,1,Grupos,2,0,True,True,False,False,False,,Tempo normal
45,Fase de grupos,H,2.0,,,Espanha,Arábia Saudita,4,0,False,,1,Grupos,4,4,False,False,True,True,False,Espanha,Tempo normal
46,Fase de grupos,H,2.0,,,Uruguai,Cabo Verde,2,2,False,,1,Grupos,4,0,True,True,True,False,False,,Tempo normal
47,Fase de grupos,H,3.0,,,Cabo Verde,Arábia Saudita,0,0,False,,1,Grupos,0,0,True,False,False,True,True,,Tempo normal
48,Fase de grupos,H,3.0,,,Uruguai,Espanha,0,1,False,,1,Grupos,1,1,False,False,False,False,True,Espanha,Tempo normal
49,Fase de grupos,I,1.0,,,França,Senegal,3,1,False,,1,Grupos,4,2,False,True,True,False,False,França,Tempo normal
50,Fase de grupos,I,1.0,,,Iraque,Noruega,1,4,False,,1,Grupos,5,3,False,True,True,False,False,Noruega,Tempo normal
51,Fase de grupos,I,2.0,,,Noruega,França,1,4,False,,1,Grupos,5,3,False,True,True,False,False,França,Tempo normal
52,Fase de grupos,I,2.0,,,Senegal,Iraque,5,0,False,,1,Grupos,5,5,False,False,True,True,False,Senegal,Tempo normal
53,Fase de grupos,I,3.0,,,França,Iraque,3,0,False,,1,Grupos,3,3,False,False,True,True,False,França,Tempo normal
