id_partida,fase,fase_ordem,etapa,grupo,selecao,adversario,gols_pro,gols_contra,vencedor,decidida_por,mando,resultado,pontos,clean_sheet
1,Fase de grupos,1,Grupos,A,México,África do Sul,2,0,México,Tempo normal,Casa,V,3,True
2,Fase de grupos,1,Grupos,A,Coreia do Sul,Chéquia,2,1,Coreia do Sul,Tempo normal,Casa,V,3,False
3,Fase de grupos,1,Grupos,A,Chéquia,África do Sul,1,1,,Tempo normal,Casa,E,1,False
4,Fase de grupos,1,Grupos,A,México,Coreia do Sul,1,0,México,Tempo normal,Casa,V,3,True
5,Fase de grupos,1,Grupos,A,África do Sul,Coreia do Sul,1,0,África do Sul,Tempo normal,Casa,V,3,True
6,Fase de grupos,1,Grupos,A,Chéquia,México,0,3,México,Tempo normal,Casa,D,0,False
7,Fase de grupos,1,Grupos,B,Canadá,Bósnia e Herzegovina,1,1,,Tempo normal,Casa,E,1,False
8,Fase de grupos,1,Grupos,B,Catar,Suíça,1,1,,Tempo normal,Casa,E,1,False
9,Fase de grupos,1,Grupos,B,Suíça,Bósnia e Herzegovina,4,1,Suíça,Tempo normal,Casa,V,3,False
10,Fase de grupos,1,Grupos,B,Canadá,Catar,6,0,Canadá,Tempo normal,Casa,V,3,True
11,Fase de grupos,1,Grupos,B,Bósnia e Herzegovina,Catar,3,1,Bósnia e Herzegovina,Tempo normal,Casa,V,3,False
12,Fase de grupos,1,Grupos,B,Suíça,Canadá,2,1,Suíça,Tempo normal,Casa,V,3,False
13,Fase de grupos,1,Grupos,C,Brasil,Marrocos,1,1,,Tempo normal,Casa,E,1,False
14,Fase de grupos,1,Grupos,C,Haiti,Escócia,0,1,Escócia,Tempo normal,Casa,D,0,False
15,Fase de grupos,1,Grupos,C,Escócia,Marrocos,0,1,Marrocos,Tempo normal,Casa,D,0,False
16,Fase de grupos,1,Grupos,C,Brasil,Haiti,3,0,Brasil,Tempo normal,Casa,V,3,True
17,Fase de grupos,1,Grupos,C,Marrocos,Haiti,4,2,Marrocos,Tempo normal,Casa,V,3,False
18,Fase de grupos,1,Grupos,C,Escócia,Brasil,0,3,Brasil,Tempo normal,Casa,D,0,False
19,Fase de grupos,1,Grupos,D,Estados Unidos,Paraguai,4,1,Estados Unidos,Tempo normal,Casa,V,3,False
20,Fase de grupos,1,Grupos,D,Austrália,Turquia,2,0,Austrália,Tempo normal,Casa,V,3,True
21,Fase de grupos,1,Grupos,D,Estados Unidos,Austrália,2,0,Estados Unidos,Tempo normal,Casa,V,3,True
22,Fase de grupos,1,Grupos,D,Turquia,Paraguai,0,1,Paraguai,Tempo normal,Casa,D,0,False
23,Fase de grupos,1,Grupos,D,Turquia,Estados Unidos,3,2,Turquia,Tempo normal,Casa,V,3,False
24,Fase de grupos,1,Grupos,D,Paraguai,Austrália,0,0,,Tempo normal,Casa,E,1,True
25,Fase de grupos,1,Grupos,E,Alemanha,Curaçao,7,1,Alemanha,Tempo normal,Casa,V,3,False
26,Fase de grupos,1,Grupos,E,Costa do Marfim,Equador,1,0,Costa do Marfim,Tempo normal,Casa,V,3,True
27,Fase de grupos,1,Grupos,E,Alemanha,Costa do Marfim,2,1,Alemanha,Tempo normal,Casa,V,3,False
28,Fase de grupos,1,Grupos,E,Equador,Curaçao,0,0,,Tempo normal,Casa,E,1,True
29,Fase de grupos,1,Grupos,E,Curaçao,Costa do Marfim,0,2,Costa do Marfim,Tempo normal,Casa,D,0,False
30,Fase de grupos,1,Grupos,E,Equador,Alemanha,2,1,Equador,Tempo normal,Casa,V,3,False
31,Fase de grupos,1,Grupos,F,Países Baixos,Japão,2,2,,Tempo normal,Casa,E,1,False
32,Fase de grupos,1,Grupos,F,Suécia,Tunísia,5,1,Suécia,Tempo normal,Casa,V,3,False
33,Fase de grupos,1,Grupos,F,Países Baixos,Suécia,5,1,Países Baixos,Tempo normal,Casa,V,3,False
34,Fase de grupos,1,Grupos,F,Tunísia,Japão,0,4,Japão,Tempo normal,Casa,D,0,False
35,Fase de grupos,1,Grupos,F,Japão,Suécia,1,1,,Tempo normal,Casa,E,1,False
36,Fase de grupos,1,Grupos,F,Tunísia,Países Baixos,1,3,Países Baixos,Tempo normal,Casa,D,0,False
37,Fase de grupos,1,Grupos,G,Egito,Bélgica,1,1,,Tempo normal,Casa,E,1,False
38,Fase de grupos,1,Grupos,G,Irã,Nova Zelândia,2,2,,Tempo normal,Casa,E,1,False
39,Fase de grupos,1,Grupos,G,Bélgica,Irã,0,0,,Tempo normal,Casa,E,1,True
40,Fase de grupos,1,Grupos,G,Nova Zelândia,Egito,1,3,Egito,Tempo normal,Casa,D,0,False
41,Fase de grupos,1,Grupos,G,Egito,Irã,1,1,,Tempo normal,Casa,E,1,False
42,Fase de grupos,1,Grupos,G,Nova Zelândia,Bélgica,1,5,Bélgica,Tempo normal,Casa,D,0,False
43,Fase de grupos,1,Grupos,H,Espanha,Cabo Verde,0,0,,Tempo normal,Casa,E,1,True
44,Fase de grupos,1,Grupos,H,Arábia Saudita,Uruguai,1,1,,Tempo normal,Casa,E,1,False
45,Fase de grupos,1,Grupos,H,Espanha,Arábia Saudita,4,0,Espanha,Tempo normal,Casa,V,3,True
46,Fase de grupos,1,Grupos,H,Uruguai,Cabo Verde,2,2,,Tempo normal,Casa,E,1,False
47,Fase de grupos,1,Grupos,H,Cabo Verde,Arábia Saudita,0,0,,Tempo normal,Casa,E,1,True
48,Fase de grupos,1,Grupos,H,Uruguai,Espanha,0,1,Espanha,Tempo normal,Casa,D,0,False
49,Fase de grupos,1,Grupos,I,França,Senegal,3,1,França,Tempo normal,Casa,V,3,False
50,Fase de grupos,1,Grupos,I,Iraque,Noruega,1,4,Noruega,Tempo normal,Casa,D,0,False
51,Fase de grupos,1,Grupos,I,Noruega,França,1,4,França,Tempo normal,Casa,D,0,False
52,Fase de grupos,1,Grupos,I,Senegal,Iraque,5,0,Senegal,Tempo normal,Casa,V,3,True
53,Fase de grupos,1,Grupos,I,França,Iraque,3,0,França,Tempo normal,Casa,V,3,True
54,Fase de grupos,1,Grupos,I,Noruega,Senegal,3,2,Noruega,Tempo normal,Casa,V,3,False
55,Fase de grupos,1,Grupos,J,Argentina,Argélia,3,0,Argentina,Tempo normal,Casa,V,3,True
56,Fase de grupos,1,Grupos,J,Áustria,Jordânia,3,1,Áustria,Tempo normal,Casa,V,3,False
57,Fase de grupos,1,Grupos,J,Argentina,Áustria,2,0,Argentina,Tempo normal,Casa,V,3,True
58,Fase de grupos,1,Grupos,J,Jordânia,Argélia,1,2,Argélia,Tempo normal,Casa,D,0,False
59,Fase de grupos,1,Grupos,J,Argélia,Áustria,3,3,,Tempo normal,Casa,E,1,False
60,Fase de grupos,1,Grupos,J,Jordânia,Argentina,1,3,Argentina,Tempo normal,Casa,D,0,False
61,Fase de grupos,1,Grupos,K,Portugal,Congo (RDC),1,1,,Tempo normal,Casa,E,1,False
62,Fase de grupos,1,Grupos,K,Colômbia,Uzbequistão,3,1,Colômbia,Tempo normal,Casa,V,3,False
63,Fase de grupos,1,Grupos,K,Portugal,Uzbequistão,5,0,Portugal,Tempo normal,Casa,V,3,True
64,Fase de grupos,1,Grupos,K,Colômbia,Congo (RDC),1,0,Colômbia,Tempo normal,Casa,V,3,True
65,Fase de grupos,1,Grupos,K,Colômbia,Portugal,0,0,,Tempo normal,Casa,E,1,True
66,Fase de grupos,1,Grupos,K,Congo (RDC),Uzbequistão,3,1,Congo (RDC),Tempo normal,Casa,V,3,False
67,Fase de grupos,1,Grupos,L,Inglaterra,Croácia,4,2,Inglaterra,Tempo normal,Casa,V,3,False
68,Fase de grupos,1,Grupos,L,Gana,Panamá,1,0,Gana,Tempo normal,Casa,V,3,True
69,Fase de grupos,1,Grupos,L,Inglaterra,Gana,0,0,,Tempo normal,Casa,E,1,True
70,Fase de grupos,1,Grupos,L,Croácia,Panamá,1,0,Croácia,Tempo normal,Casa,V,3,True
71,Fase de grupos,1,Grupos,L,Panamá,Inglaterra,0,2,Inglaterra,Tempo normal,Casa,D,0,False
72,Fase de grupos,1,Grupos,L,Croácia,Gana,2,1,Croácia,Tempo normal,Casa,V,3,False
73,16 avos de final,2,Mata-mata,,África do Sul,Canadá,0,1,Canadá,Tempo normal,Casa,D,0,False
74,16 avos de final,2,Mata-mata,,Brasil,Japão,2,1,Brasil,Tempo normal,Casa,V,3,False
75,16 avos de final,2,Mata-mata,,Alemanha,Paraguai,1,1,Paraguai,Penaltis,Casa,D,0,False
76,16 avos de final,2,Mata-mata,,Países Baixos,Marrocos,1,1,Marrocos,Penaltis,Casa,D,0,False
77,16 avos de final,2,Mata-mata,,Costa do Marfim,Noruega,1,2,Noruega,Tempo normal,Casa,D,0,False
78,16 avos de final,2,Mata-mata,,França,Suécia,3,0,França,Tempo normal,Casa,V,3,True
79,16 avos de final,2,Mata-mata,,México,Equador,2,0,México,Tempo normal,Casa,V,3,True
80,16 avos de final,2,Mata-mata,,Inglaterra,Congo (RDC),2,1,Inglaterra,Tempo normal,Casa,V,3,False
81,16 avos de final,2,Mata-mata,,Bélgica,Senegal,3,2,Bélgica,Prorrogacao,Casa,V,3,False
