selecao,jogos,vitorias,empates,derrotas,gols_pro,gols_contra,clean_sheets,pontos_totais,saldo_gols,grupo,pos_grupo,pts_grupo,gp_grupo,gc_grupo,sg_grupo,xg,posse_media,passes,precisao_passes,chutes,chutes_a_gol,assistencias,penaltis_convertidos,cartoes_amarelos,cartoes_vermelhos,classificacao_final,fase_final,gols_por_jogo,gols_sofridos_por_jogo,chutes_por_jogo,chutes_a_gol_por_jogo,passes_por_jogo,xg_por_jogo,aproveitamento_pct,precisao_finalizacao,eficiencia_finalizacao,gols_menos_xg,xg_por_chute,pct_clean_sheets,cartoes_por_jogo,indice_disciplina,avancou_mata_mata,top16,top8,confederacao,faixa_posse,cluster,perfil_cluster,pca_x,pca_y
Espanha,8,7,1,0,14,1,7,22,13,H,1,7,5,0,5,14.6,64,5082,91,134,55,10,1,6,0,1,Campeão,1.75,0.125,16.75,6.875,635.25,1.825,91.66666666666669,41.04477611940298,10.447761194029852,-0.5999999999999996,0.108955223880597,87.5,0.75,6,1,1,1,UEFA,Alta,0,Elite técnica,3.9890772625381157,-0.9026797447324233
Argentina,8,7,0,1,19,8,2,21,11,J,1,9,8,1,7,13.3,56,4933,90,112,44,12,3,14,0,2,Vice-campeão,2.375,1.0,14.0,5.5,616.625,1.6625,87.5,39.285714285714285,16.964285714285715,5.699999999999999,0.11875,25.0,1.75,14,1,1,1,CONMEBOL,Alta,0,Elite técnica,2.8756271090941046,0.059763244254089715
Inglaterra,8,6,1,1,20,12,2,19,8,L,1,7,6,2,4,14.7,55,3795,91,116,58,14,3,8,1,3,3º lugar,2.5,1.5,14.5,7.25,474.375,1.8375,79.16666666666667,50.0,17.24137931034483,5.300000000000001,0.1267241379310345,25.0,1.125,11,1,1,1,UEFA,Alta,0,Elite técnica,2.86752708581392,1.1860735644564242
França,8,6,0,2,20,10,4,18,10,I,1,9,10,2,8,15.4,56,4048,91,143,63,18,2,6,0,4,4º lugar,2.5,1.25,17.875,7.875,506.0,1.925,75.0,44.05594405594405,13.986013986013988,4.6,0.1076923076923077,50.0,0.75,6,1,1,1,UEFA,Alta,0,Elite técnica,3.593716110217634,1.1400935008675228
Noruega,6,4,0,2,13,11,0,12,2,I,2,6,8,7,1,9.4,52,2947,88,65,30,10,1,3,0,5,Quartas de final,2.1666666666666665,1.8333333333333333,10.833333333333334,5.0,491.1666666666667,1.5666666666666669,66.66666666666667,46.15384615384615,20.0,3.6,0.1446153846153846,0.0,0.5,3,1,1,1,UEFA,Media,2,Equilibradas competitivas,1.3100617645853103,0.7458673199433564
Bélgica,6,3,2,1,14,7,1,11,7,G,1,5,6,2,4,10.3,51,2856,87,111,34,11,1,6,1,6,Quartas de final,2.333333333333333,1.1666666666666667,18.5,5.666666666666667,476.0,1.7166666666666668,61.11111111111112,30.63063063063063,12.612612612612612,3.6999999999999993,0.0927927927927928,16.666666666666668,1.1666666666666667,9,1,1,1,UEFA,Media,0,Elite técnica,2.3141395607354136,0.784609193858674
Suíça,6,4,1,1,10,6,2,13,4,B,1,7,7,3,4,10.0,54,2989,89,76,34,6,2,7,0,7,Quartas de final,1.6666666666666667,1.0,12.666666666666666,5.666666666666667,498.1666666666667,1.6666666666666667,72.22222222222223,44.73684210526316,13.157894736842104,0.0,0.131578947368421,33.333333333333336,1.1666666666666667,7,1,1,1,UEFA,Media,2,Equilibradas competitivas,1.8886419412362254,-0.13436859996283396
Marrocos,6,4,1,1,10,6,2,13,4,C,2,7,6,3,3,7.1,59,3343,90,66,30,9,0,7,0,7,Quartas de final,1.6666666666666667,1.0,11.0,5.0,557.1666666666666,1.1833333333333331,72.22222222222223,45.45454545454545,15.151515151515152,2.9000000000000004,0.1075757575757575,33.333333333333336,1.1666666666666667,7,1,1,1,CAF,Alta,2,Equilibradas competitivas,1.7300943579910364,-0.6697860349258764
México,5,4,0,1,10,3,4,12,7,A,1,9,6,0,6,8.1,52,2126,88,73,22,7,1,4,1,9,Oitavas de final,2.0,0.6,14.6,4.4,425.2,1.62,80.0,30.136986301369863,13.6986301369863,1.9000000000000004,0.110958904109589,80.0,1.0,7,1,1,0,CONCACAF,Media,2,Equilibradas competitivas,1.5586673311187056,-0.2069838597851569
Colômbia,5,3,1,1,5,1,4,10,4,K,1,7,4,1,3,7.0,59,2617,89,96,32,5,0,8,0,10,Oitavas de final,1.0,0.2,19.2,6.4,523.4,1.4,66.66666666666667,33.333333333333336,5.208333333333333,-2.0,0.0729166666666666,80.0,1.6,8,1,1,0,CONMEBOL,Alta,0,Elite técnica,2.6420958118208655,-1.1220495392059278
Brasil,5,3,1,1,10,4,2,10,6,C,1,7,7,1,6,9.1,52,2626,91,70,29,8,2,8,0,11,Oitavas de final,2.0,0.8,14.0,5.8,525.2,1.82,66.66666666666667,41.42857142857143,14.285714285714286,0.9000000000000004,0.13,40.0,1.6,8,1,1,0,CONMEBOL,Media,0,Elite técnica,2.526986404960229,-0.034684681272327045
Estados Unidos,5,3,0,2,11,8,2,9,3,D,1,6,8,4,4,5.5,57,2435,89,59,19,4,0,7,1,12,Oitavas de final,2.2,1.6,11.8,3.8,487.0,1.1,60.0,32.20338983050848,18.64406779661017,5.5,0.0932203389830508,40.0,1.6,10,1,1,0,CONCACAF,Alta,2,Equilibradas competitivas,1.1192309722907572,0.14908223634332843
Portugal,5,2,2,1,8,3,2,8,5,K,2,5,6,1,5,6.8,58,2774,92,63,20,4,1,7,0,13,Oitavas de final,1.6,0.6,12.6,4.0,554.8,1.36,53.333333333333336,31.746031746031747,12.698412698412698,1.2000000000000002,0.1079365079365079,40.0,1.4,7,1,1,0,UEFA,Alta,2,Equilibradas competitivas,1.9749945821750274,-1.159328805153975
Canadá,5,2,1,2,9,6,2,7,3,B,2,4,8,3,5,9.1,54,2031,84,80,30,3,0,11,0,14,Oitavas de final,1.8,1.2,16.0,6.0,406.2,1.82,46.66666666666666,37.5,11.25,-0.0999999999999996,0.1137499999999999,40.0,2.2,11,1,1,0,CONCACAF,Media,0,Elite técnica,1.63523104086661,0.6319938150620937
Egito,5,2,2,1,8,7,0,8,1,G,2,5,5,3,2,6.0,53,2395,88,65,20,7,0,12,0,15,Oitavas de final,1.6,1.4,13.0,4.0,479.0,1.2,53.333333333333336,30.76923076923077,12.307692307692308,2.0,0.0923076923076923,0.0,2.4,12,1,1,0,CAF,Media,2,Equilibradas competitivas,0.8637472460714923,-0.2021928752718704
Paraguai,5,2,1,2,3,6,2,7,-3,D,3,4,2,4,-2,2.1,30,1268,72,34,11,3,0,9,1,16,Oitavas de final,0.6,1.2,6.8,2.2,253.6,0.42,46.66666666666666,32.35294117647059,8.823529411764707,0.8999999999999999,0.0617647058823529,40.0,2.0,12,1,1,0,CONMEBOL,Baixa,3,Frágeis defensivamente,-4.134932509385813,-0.41465702772340235
Países Baixos,4,2,1,1,11,5,0,7,6,F,1,7,10,4,6,5.4,53,1884,89,49,23,10,0,3,0,17,16 avos (Round of 32),2.75,1.25,12.25,5.75,471.0,1.35,58.333333333333336,46.93877551020408,22.448979591836736,5.6,0.110204081632653,0.0,0.75,3,1,0,0,UEFA,Media,2,Equilibradas competitivas,1.8815815825102629,0.7947677172995319
